scientificName
Plethopeltis buehleri Ulrich
Plethopeltis constantiae Howell
Plethopeltis exigua Howell
Plethopeltis granulosa Resser
Plethopeltis minuta Howell
Plethopeltis platymarginatus Ulrich
Plethopeltis saratogensis (Walcott)
Plethopeltis sp Longacre
Plethopeltis sp
Plethopeltis ulrichi Kobayashi
Pleuroctenium magnificum Howell
Plicatolina kindlei Shaw
Plicatolina nyensin Taylor
Plicatolina nyensis Taylor
Plicatolinella ocula Robison & Pantoja-Alor
Pliomera fischeri Eichwald
Pliomerella americana Cooper
Pliomerides sp Ross
Pliomerops canadensis (Billings)
Pliomerops canadensis Billings
Pliomerops sp Ross
Poliella caranussis Resser
Poliella denticulata Rasetti
Poliella germana (Resser)
Poliella leipalox Fritz
Poliella lomataspis Palmer in Palmer & Halley
Poliella prima (Walcott)
Poliella sp Rasetti
Poliella virginica Resser
Poliella wasatchensis Resser
"Polliaxis hanseni Hollingsworth, 2005"
Polliaxis inflata Palmer
Polypleuraspis insignis Rasetti
Poriagraulos nanum (Dames)
Porilorenzella vicina (Walcott)
Porterfieldia caecigenus (Raymond)
Portlockiella spinifera Walcott
Poshania daunus (Walcott)
Poshania sp Zhang & Jell
Potamocypris pustulosa Sun
Poulsenia bearensis Resser
Poulsenia granosa Resser
Poulsenia occidens Resser
Praepatokephalus armatus (Hintze)
Prehousia alata Palmer
Prehousia diverta Palmer
Prehousia impolita Palmer
Prehousia indenta Palmer
Prehousia prima Palmer
Prehousia semicircularis Palmer
Presbynileus sp Lochman
Pricyclopyge binodosa
Primaspis ascitus Whittington
Primaspis churkini Ross
Primaspis sp x Ross
Primaspis sp y Ross
Prionocheilus castae
Prionocheilus mendax
Proagnostus bulbus Butts
Proagnostus centerensis Resser
Proagnostus major Resser
Proagnostus maryvillensis Resser
Proagnostus modesta Lochman
Proagnostus modestus Lochman in Lochman & Duncan
Proagnostus romensis Resser
Proagnostus sp Palmer
Proagnostus speciosus (Resser)
Proasaphiscus allegheniensis Endo & Resser
Proasaphiscus angustilimbata (Resser & Endo in Endo & Resser)
Proasaphiscus butes (Walcott)
Proasaphiscus centronatus Endo & Resser
Proasaphiscus conoides Endo & Resser
Proasaphiscus decelus (Walcott)
Proasaphiscus ephori (Walcott)
Proasaphiscus humilis Endo & Resser
Proasaphiscus hyrie (Walcott)
Proasaphiscus kimurai Endo & Resser
Proasaphiscus liaoyangensis Resser & Endo in Endo & Resser
Proasaphiscus liaoyangensis Endo & Resser
Proasaphiscus mantouensis Endo & Resser
Proasaphiscus nereis (Walcott)
Proasaphiscus offula Endo & Resser
Proasaphiscus paotaiensis Resser & Endo in Endo & Resser
Proasaphiscus paotaiensis Endo & Resser
Proasaphiscus pertenuis Resser & Endo in Endo & Resser
Proasaphiscus pertenuis Endo & Resser
Proasaphiscus planus Endo & Resser
Proasaphiscus poulseni Resser & Endo in Endo & Resser
Proasaphiscus poulseni Endo & Resser
Proasaphiscus pyriformis Endo & Resser
Proasaphiscus pyriformis Resser & Endo in Endo & Resser
Proasaphiscus quadrilateralis Endo & Resser
Proasaphiscus (Honanaspis)) sp Zhang & Jell
Proasaphiscus sp Zhang & Jell
Proasaphiscus sp Endo & Resser
Proasaphiscus suni (Resser & Endo in Endo & Resser)
Proasaphiscus tenellus Resser & Endo in Endo & Resser
Proasaphiscus tenellus Endo & Resser
Proasaphiscus tenes (Walcott)
Proasaphiscus tenuicaudatus Endo & Resser
Proasaphiscus tschanghsingensis Resser & Endo
Proasaphiscus tschanghsingensis Resser & Endo in Endo & Resser
Proasaphiscus willisi Endo & Resser
Proasaphiscus yabei Resser & Endo in Kobayashi
Proasaphiscus yabei Endo & Resser
Proaulacopleura buttsi Kobayashi
Probolops glabellirostris (Kozlowski)
Probolops sp
Probowmania ligea (Walcott)
Probowmania prisca (Resser & Endo in Endo & Resser)
Probowmaniella manchuriensis (Resser & Endo in Endo & Resser)
Prochasmops praecurrens
Prochuangia berryi Lochman
Prochuangia inutilis (Resser & Endo in Endo & Resser)
Prochuangia richthofeni Monke
Prodamesella quadrata (Resser & Endo in Endo & Resser)
Proetidella sp 1 Ross
Proetidella sp 2 Ross
Proetidella sp 3 Ross
Proetus artiaxis Howell & Sanford
Proetus blandi Cooper
Proetus clarus Hall
Proetus collinodosus Foerste
Proetus convexus Warburg
Proetus crassimarginatus Hall
Proetus (Phaeton) denticulatus Meek
Proetus determinatus Foerste
Proetus (Pudoproetus) fernglenensis Weller
Proetus folliceps Hall & Clarke
Proetus loganensis Hall & Whitfield
Proetus marginalis Conrad
Proetus (Pudoproetus) missouriensis Shumard
Proetus missouriensis Shumard
Proetus nevadaensis Hall & Clarke
Proetus parviusculus Hall
Proetus peroccidens Hall & Whitfield
Proetus pluteus Whittington & Campbell
Proetus problematicus Swartz
Proetus roundyi var. depressus Girty
Proetus roundyi var. alternatus Girty
Proetus roundyi Girty
Proetus rowi (Green)
Proetus rowi Green
Proetus signatus Lindstrom
Proetus sp
Proetus sp Holloway
Proetus sp Swartz & Prouty
Proetus strasburgensis Cooper
Proetus subornatus Cooper & Kindle
Proetus tenuisulcatus Howell & Sanford
Proetus (Crassiproetus) traversensis Stumm
Proetus undulostriatus (Hall)
Proetus vaningeni Foerste
Profallotaspis sp
Prohedinia brevifrons Palmer
Proliostracus goodwini Resser
Proliostracus granulatus Resser
Promesus extremus Lochman
Proplina centronatus (Resser & Endo in Endo & Resser)
Proplina iddingsi (Walcott)
Proplina pustulosa (Resser & Endo in Endo & Resser)
Proplina sp Zhang & Jell
Prosaukia alternata Ulrich & Resser
Prosaukia ampla Ulrich & Resser
Prosaukia anomala Ulrich & Resser
Prosaukia barabuensis Resser
Prosaukia baubo (Walcott)
Prosaukia beani Ulrich & Resser
Prosaukia berlinensis Ulrich & Resser
Prosaukia brevisulcata Ulrich & Resser
Prosaukia brizo (Walcott)
Prosaukia brizoformis Endo
Prosaukia campe (Resser & Endo in Kobayashi)
Prosaukia concava Ulrich & Resser
Prosaukia corrugata Rasetti
Prosaukia curvicostata Ulrich & Resser
Prosaukia delecostata Ulrich & Resser
Prosaukia demissa Ulrich & Resser
Prosaukia dilata Ulrich & Resser
Prosaukia dubia Ulrich & Resser
Prosaukia halli Ulrich & Resser
Prosaukia hartti (Walcott)
Prosaukia incerta Ulrich & Resser
Prosaukia irrasa (Raymond)
Prosaukia longa Ulrich & Resser
Prosaukia longicornis Ulrich & Resser
Prosaukia longula Ulrich & Resser
Prosaukia magnicornuta Ulrich & Resser
Prosaukia misa (Hall)
Prosaukia newtonensis (Weller)
Prosaukia paiensis (Resser & Endo in Kobayashi)
Prosaukia remora Longacre
Prosaukia resupinata Ulrich & Resser
Prosaukia sp Stitt
Prosaukia sp Grant
Prosaukia sp a Zhang & Jell
Prosaukia sp b Zhang & Jell
Prosaukia sp c Zhang & Jell
Prosaukia spinula Taylor in Taylor & Halley
Prosaukia stosei (Walcott)
Prosaukia subaequalis Ulrich & Resser
Prosaukia subconica Ulrich & Resser
Prosaukia subrecta Ulrich & Resser
Prosaukia transversa Ulrich & Resser
Prosaukia tribulis (Walcott)
Prosaukia tuberculata Ulrich & Resser
Prosaukia valida Ulrich & Resser
Prosaukia welleri Resser
Protarca alcon (Walcott)
Protarca typicalis (Walcott)
Proteus granulosus
Protillaenus sp Palmer
Protocalymene mcallisteri Ross
Protocalymene sp Ross
Protocaris pretiosa Resser
Protolenus elegans Matthew
Protopliomerella contracta (Ross)
Protopliomerops superciliosa Ross
Protypus marginatus Rasetti
Protypus sp Rasetti
Proveedoria starquistae Lochman in Cooper Et Al
Prozacanthoides aequus Resser
Prozacanthoides alatus Resser
Prozacanthoides charilla Resser
Prozacanthoides decorosus Resser
Prozacanthoides excavatus Resser
Prozacanthoides exilis Resser
Prozacanthoides expansus Resser
Prozacanthoides libertyensis Resser
Prozacanthoides optatus Resser
Prozacanthoides simplex Resser
Prozacanthoides sp Rasetti
Prozacanthoides virginicus Resser
Psalaspis marginata Feniak
Psalikilus paraspinosum Hintze
Psalikilus sp Lochman
Psalikilus sp Sando
Pseudagnostina contracta Palmer
Pseudagnostus acutus (Kobayashi)
Pseudagnostus araneavelatus Shaw
Pseudagnostus bilobus Shaw
Pseudagnostus (Plethagnostus) clarki Kobayashi
Pseudagnostus clarki Kobayashi
Pseudagnostus communis (Hall & Whitfield)
Pseudagnostus communis
Pseudagnostus convergens Palmer
Pseudagnostus cyclopygeformis (Sun)
Pseudagnostus douvillei (Bergeron)
Pseudagnostus gyps (Grant)
Pseudagnostus josepha (Hall)
Pseudagnostus josephus (Hall)
Pseudagnostus laevis Palmer
Pseudagnostus mesleri (Resser)
Pseudagnostus nordicus (Lochman)
Pseudagnostus prolongus (Hall & Whitfield)
Pseudagnostus sentosus Grant
Pseudagnostus sp Palmer
Pseudagnostus sp Robison & Pantoja-Alor
Pseudagnostus sp Clark & Shaw
Pseudagnostus sp Theokritoff
Pseudagnostus sp Robison & Palmer
Pseudagnostus vulgaris Rozova
Pseudoasaphinus tecticaudatus
Pseudoasaphinus tecticaudatus ?
Pseudobasilicus planus
Pseudoclelandia lenisora Ross
Pseudocybele lemurei
Pseudocybele sp Sando
Pseudodechenella rowi (Green)
Pseudogygites canadensis (Chapman)
Pseudogygites latimarginatus (Hall)
Pseudohystricurus sp Ross
Pseudohystricurus vespa Weller
Pseudokainella armatus Hintze
Pseudokainella sp
Pseudokingstonia exotica Palmer
Pseudolisania raaschi Lochman
Pseudolisania texana Lochman
Pseudomera barrandei (Billings)
Pseudomera sp Ross
Pseudophillipsia artiensis
Pseudophillipsia sp Brezinski
Pseudophillipsia sp
Pseudoprotophyllum belus (Walcott)
Pseudoprotophyllum dryope (Walcott)
Pseudosaratogia abnormis Palmer
Pseudosaratogia leptogranulata Palmer
Pseudosaukia brevifrons (Clark)
Pseudosphaerexochus clintoni Foerste
Pseudosphaerexochus sp Zhang & Jell
Psilaspis blautoeides (Lorenz)
Psilaspis manchuriensis Endo & Resser
Psilaspis speciosa (Lorenz)
Psilaspis temenus (Walcott)
Psilostracus impar (Walcott)
Psilostracus mantoensis (Walcott)
Ptarmigania agrestis Resser
Ptarmigania altilis Resser
Ptarmigania aurita Resser
Ptarmigania bispinosa Lochman in Cooper Et Al
Ptarmigania dignata Resser
Ptarmigania exigua Resser
Ptarmigania germana Resser
Ptarmigania gordonensis Resser
Ptarmigania longula Resser
Ptarmigania natalis Resser
Ptarmigania ornata Resser
Ptarmigania rossensis (Walcott)
Ptarmigania sobrina Resser
Ptarmigania sp Resser in McKee & Resser
Ptarmigania sp Resser
Ptarmiganoides araneicauda Fritz
Ptarmiganoides bowensis Rasetti
Ptarmiganoides crassaxis Palmer in Palmer & Halley
Ptarmiganoides hexacantha Palmer in Palmer & Halley
Ptarmiganoides lepida (Resser)
Ptarmiganoides sp Fritz
Ptarmiganoides sp Eddy & McCollum
Pterocephalia bridgei Resser
Pterocephalia concava Palmer
Pterocephalia constricta Palmer
Pterocephalia dakotensis Resser
Pterocephalia deckeri Resser
Pterocephalia elongata Palmer
Pterocephalia (Pterocephalus) laticeps (Hall & Whitfield)
Pterocephalia laticeps (Hall & Whitfield)
Pterocephalia multicincta (Hall & Whitfield)
Pterocephalia occidens Walcott
Pterocephalia oriens Resser
Pterocephalia potosiensis Resser
Pterocephalia punctata Palmer
Pterocephalia sanctisabae Roemer
Pterocephalia sanctisibae Roemer
Pterocephalia santisabae Roemer
Pterocephalia silvestris Resser
Pterocephalia ulrichi Resser
Pterocephalina bilobata (Hall & Whitfield)
Pterocephalina grata Resser
Pterocephalina notha Resser
Pterocephalina pogonipensis Resser
Pterocephalina texana Resser
Pterocephalina utahensis Resser
Pterocephalops tuberculineata Clark
Pterocephalus asiaticus Walcott
Pterocephalus busiris Walcott
Pterocephalus liches Walcott
Pterygomatopus sp Allen & Lester
Pterygometopus annulatus Raymond
Pterygometopus carleyi-rogersensis Foerste
Pterygometopus confluens Foerste
Pterygometopus exilis
Pterygometopus intermedius (Walcott)
Pterygometopus lincolnensis Branson
Pterygometopus sp Weller
Pterygometopus sp Butts
Ptychagnostus akanthodes Robison
Ptychagnostus akanthodes Robinson
Ptychagnostus gibbus (Linnarsson)
Ptychagnostus hintzei Robinson
Ptychagnostus hybridus (Brogger)
"Ptychagnostus praecurrens (Westergaard, 1936)"
Ptychagnostus (Ptychagnostus) punctuosus affinis (Brogger)
Ptychagnostus punctuosus (Angelin)
Ptychagnostus richmondensis (Walcott)
Ptychagnostus seminula (Whitehouse)
Ptychagnostus sp Samson et al.
Ptychagnostus sp Rasetti
Ptychagnostus sp Robison
Ptychaspis acamus Walcott
Ptychaspis asiatica Resser & Endo in Endo & Resser
Ptychaspis asiaticus Endo & Resser
Ptychaspis baubo (Walcott)
Ptychaspis bella Walcott
Ptychaspis brizo (Walcott)
Ptychaspis bullasa Balk
Ptychaspis bullasa Lochman & Hu
Ptychaspis cacus Walcott
Ptychaspis cadmus Walcott
Ptychaspis calchas Walcott
Ptychaspis callisto Walcott
Ptychaspis calyce Walcott
Ptychaspis campe Walcott
Ptychaspis ceto Walcott
Ptychaspis granulosa angaria Grant
Ptychaspis granulosa (Owen)
Ptychaspis miniscaensis (Owen)
Ptychaspis minuta Whitfield
Ptychaspis pustulosa Hall & Whitfield
Ptychaspis sp Stitt
Ptychaspis sp Zhang & Jell
Ptychaspis sp Longacre
Ptychaspis sp Walcott
Ptychaspis sphaerica Endo & Resser
Ptychaspis striata Whitfield
Ptychaspis subglobosa Grabau in Sun
Ptychephalus yersini
Ptychoparella buttsi Resser
Ptychoparella georgiensis Resser
Ptychoparella lancastra Resser
Ptychoparella michaeli Resser
Ptychoparella minor Resser
Ptychoparella prolifica Resser
Ptychoparella sp. undet. Lochman
Ptychoparella swantonensis Resser
Ptychoparella taylori Resser
Ptychoparella vermontensis Resser
Ptychoparella walcotti Resser
Ptychoparia aclis Walcott
Ptychoparia adamsi (Billings)
Ptychoparia adina Walcott
Ptychoparia (Euloma) affinis Walcott
Ptychoparia annectans Walcott
Ptychoparia attleborensis Shaler & Foerste
Ptychoparia (Solenopleura) breviceps Walcott
Ptychoparia (Emmrichella) bromus Walcott
Ptychoparia burnetensis Walcott
Ptychoparia candace Walcott
Ptychoparia carina Walcott
Ptychoparia cercops Walcott
Ptychoparia charax Walcott
Ptychoparia cilles Walcott
Ptychoparia clavata Walcott
Ptychoparia cleadas Walcott
Ptychoparia cleon Walcott
Ptychoparia clusia Walcott
Ptychoparia comus Walcott
Ptychoparia connata Walcott
Ptychoparia (Emmrichella) constricta Walcott
Ptychoparia cordillerae (Rominger)
Ptychoparia cossus Walcott
Ptychoparia cuneas Walcott
Ptychoparia diademata (Hall)
Ptychoparia (Euloma) dissimilis Walcott
Ptychoparia dryope Walcott
Ptychoparia (Emmrichella) eriopa Walcott
Ptychoparia fitchi Walcott
Ptychoparia gogensis Walcott
Ptychoparia grabaui Endo & Resser
Ptychoparia granosa Walcott
Ptychoparia hispida Howell
Ptychoparia housensis Walcott
Ptychoparia impar Walcott
Ptychoparia inflata Walcott
Ptychoparia (Liostracus) intermedia Walcott
Ptychoparia kingi Meek
Ptychoparia kochibei Walcott
Ptychoparia laeviceps Walcott
Ptychoparia ligea Walcott
Ptychoparia lilia Walcott
Ptychoparia linnarsoni Walcott
Ptychoparia llanoensis Walcott
Ptychoparia lux Walcott
Ptychoparia maia Walcott
Ptychoparia (Emmrichella) mantoensis Walcott
Ptychoparia metisensis Walcott
Ptychoparia metra Walcott
Ptychoparia nereis Walcott
Ptychoparia occidens Walcott
Ptychoparia (Pterocephalus) occidens Walcott
Ptychoparia occidentalis Walcott
Ptychoparia orientalis Endo & Resser
"Ptychoparia palliseri Walcott, 1908"
Ptychoparia (Liostracus) panope Walcott
Ptychoparia penfieldi Walcott
Ptychoparia permulta Walcott
Ptychoparia perola Walcott
Ptychoparia pia Walcott
Ptychoparia piochensis Walcott
Ptychoparia prospectensis Walcott
Ptychoparia pylas Walcott
Ptychoparia skapta Walcott
Ptychoparia sp Walcott
Ptychoparia striata (Emmrich)
Ptychoparia suada Walcott
Ptychoparia (Liostracus) subrugosa Walcott
Ptychoparia tellus Walcott
Ptychoparia (Emmrichella) theano Walcott
Ptychoparia thia Walcott
Ptychoparia thraso Walcott
Ptychoparia titiana Walcott
Ptychoparia tolus Walcott
Ptychoparia (Liostracus) toxeus Walcott
Ptychoparia trogus Walcott
Ptychoparia (Liostracus) tutia Walcott
Ptychoparia undata Walcott
Ptychoparia unisulcatus (Hall & Whitfield)
Ptychoparia urania Walcott
Ptychoparia vacuna Walcott
Ptychoparia vesta Walcott
Ptychoparia (Lonchocephalus) wisconsensis (Owen)
Ptychopleurites amplooculata Frederickson
Ptychopteria robbi (Hartt)
Ptychopyge aff. volchovense
Ptychopyge gladiferos
Ptychopyge ulrichi Clarke
Ptyocephalus declivatus (Ross)
Ptyocephalus montanensis Lochman
Ptyocephalus sp
Ptyocephalus vigilans Whittington
Pudoproetus sp.
Punctaspis crassimargo Clark
Punctularia quebecensis Lochman
Quadragnostus solus Howell
Quadraticephalus teres Endo & Resser
Quadrops sp
Quebecaspis aspinosa Palmer
Quebecaspis conifrons Rasetti
Quebecaspis hemispherica Clark & Shaw
Quebecaspis hemispherica Clark
Quebecaspis marylandica tuberculata Clark
Quebecaspis marylandica Rasetti
Quebecaspis sp Palmer
Raaschella occidentalis Lochman in Lochman & Duncan
Raaschella occidentalis Lochman
Raaschella ornata Lochman
Radnoria sp Holloway
Rananasus brevicephalus Cullison
Rananasus conicus Cullison
Raphiophorus niagarensis (Von Ingen)
Raphiophorus niagarensis (Van Ingen)
Raphiophorus roualti
Rasettia capax (Billings)
Rasettia magna Ellinwood
Rasettia magna Ellinwood in Bell & Ellinwood
Rasettia snowyensis Grant
Rasettia wichitaensis (Resser)
Raymondaspis sp Ross
Raymondaspis sp Whittington in Neuman
Raymondaspis vespertinus Ross
Raymondella elegans (Cooper)
Raymondella nevadensis Ross
Raymondites ingalli (Raymond)
Raymondites longispinus (Walcott)
Raymondites schucherti (Clarke)
Raymondites sp Whittington
Raymondites sp Ross
Raymondites spiniger (Hall)
Redlichaspis biston (Walcott)
Redlichaspis finalis (Walcott)
Redlichaspis undata (Walcott)
Redlichia (Pteroredlichia) chinensis Walcott
Redlichia chinensis Walcott
Redlichia finalis Walcott
Redlichia manchuriensis Endo & Resser
Redlichia manchuriensis Resser & Endo in Endo & Resser
Redlichia mansuyi Endo & Resser
Redlichia (Redlichia) mansuyi Resser & Endo in Endo & Resser
Redlichia (Pteroredlichia) murakamii Resser & Endo in Kobayashi
Redlichia murakamii Endo & Resser
Redlichia nobilis Walcott
Redlichia (Redlichia) nobilis Walcott
Redlichia sp Palmer & Gatehouse
Redlichia sp Endo & Resser
Redlichia sp Zhang & Jell
Redlichia sp Walcott
Redlichia yunnanensis Resser & Endo in Endo & Resser
Redlichia yunnanensis Endo & Resser
Reedops deckeri Delo
Remipyga glabra Whittington
Remopleurides asperulus Whittington
Remopleurides caelatus Whittington
Remopleurides caphyroides Whittington
Remopleurides eximius Whittington
Remopleurides grandis Ulrich
Remopleurides missouriensis Foerste
Remopleurides nanus
Remopleurides plaesiourus Whittington
Remopleurides simulus Whittington
Remopleurides sp Butts
Remopleurides sp 1 Ross
Remopleurides sp 2 Ross
Remopleurides striatus Cooper & Kindle
Repinaella sp
Resseria welleri (Raymond)
Resserops sp.
Retamaspis melendezei
Reubenella rex Lochman
Rhinotarion sentosum Whittington & Campbell
Richardsonella arctostriata (Raymond)
Richardsonella eurekensis Kobayashi
Richardsonella megalops (Billings)
Richardsonella nuchastria Palmer
Richardsonella quadrispinosa Palmer
Richardsonella sp 1 Palmer
Richardsonella sp 2 Palmer
Richardsonella sp 3 Palmer
Richardsonella sp a Taylor
Richardsonella subcristata Rasetti
Richardsonella tyboensis Taylor
Richardsonella unisulcata Rasetti
Richardsonella variagranula Robison & Pantoja-Alor
Richterella hindsvillensis Hessler
Richterella loganensis (Hall & Whitfield)
Rimouskia spinosa Resser
Rimouskia typica Resser
Robergia athenia Butts
Robergia deckeri Cooper
Robergia major Raymond
Robergia sp Ross et al.
Robergia striatus Endo
Robergiella sagittallis Whittington
Robergiella sp Ross
Rowia cylindrica Deiss
Rowia delicata Deiss
Rowia granulata Deiss
Rowia vulgata Deiss
Ruichengaspis mirabilis Chang & Yuan in Chang Et Al
Saltercoryphe roualti
Salteria americana Cooper
Sao hirsuita
Saratogia americana (Lochman & Hu)
Saratogia arses Walcott
Saratogia aruno Walcott
Saratogia (Saratogia) calcifera (Walcott)
Saratogia carita Grant
Saratogia francida Grant
Saratogia fria (Lochman & Hu)
Saratogia (Idahoia) fria Lochman & Hu
Saratogia fria Lochman & Hu
Saratogia hera Walcott
Saratogia modesta (Lochman & Hu)
Saratogia portlandensis Howell
Saratogia (Idahoia) serapio (Walcott)
Saratogia sp Taylor
Saratogia volux Walcott
Saukia acuta Ulrich & Resser
Saukia angustus Ulrich & Resser
Saukia coloradoensis Walcott
Saukia divergens Ulrich & Resser
Saukia fallax Walcott
Saukia globosa Robison & Pantoja-Alor
Saukia imperatrix Ulrich & Resser
Saukia junia Walcott
Saukia leucosia Walcott
Saukia modesta Ulrich & Resser
Saukia obtusa Ulrich & Resser
Saukia orientalis Endo & Resser
Saukia ornata Ulrich & Resser
Saukia prima Ulrich & Resser
Saukia pyrene Walcott
Saukia retusa Ulrich & Resser
Saukia rudis hybrida Ulrich & Resser
Saukia rudis Ulrich & Resser
Saukia rustica Walcott
Saukia separata Ulrich & Resser
Saukia stosei Walcott
Saukia subrecta Ulrich & Resser
Saukia tumida Ulrich & Resser
Saukia ulrichi Endo & Resser
Saukia whitfieldi Ulrich & Resser
Saukiella ampla Ulrich & Resser
Saukiella blairstownensis Howell
Saukiella conica Ulrich & Resser
Saukiella fallax (Walcott)
Saukiella frontalis Ulrich & Resser
Saukiella indenta Ulrich & Resser
Saukiella junia var. b Winston & Nicholls
Saukiella junia var. a Winston & Nicholls
Saukiella minima Howell
Saukiella minor Ulrich & Resser
Saukiella norwalkensis var. 2 Ulrich & Resser
Saukiella norwalkensis var. 3 Ulrich & Resser
Saukiella norwalkensis Ulrich & Resser
Saukiella paiensis Endo & Resser
Saukiella parva Howell
Saukiella pepinensis Owen
Saukiella pepinensis (Owen)
Saukiella planata Winston & Nicholls
Saukiella pyrene limbata Ulrich & Resser
Saukiella pyrene (Walcott)
Saukiella pyrene Walcott
Saukiella serotina Longacre
Saukiella signata Walcott
Saukiella simplex Walcott
Saukiella subgracilis parallela Ulrich & Resser
Saukiella subgracilis hybrida Ulrich & Resser
Saukiella subgracilis Ulrich & Resser
Saukiella typicalis convexa Ulrich & Resser
Saukiella typicalis subrecta Ulrich & Resser
Saukiella typicalis Ulrich & Resser
Saukiella weidmani Ulrich & Resser
Sceptaspis lincolnensis (Branson)
Schistometopus collaris Rasetti
Schistometopus convexus Rasetti
Schistometopus sp Palmer in Palmer & Halley
Schistometopus typicalis Resser
Schizostylus (Schizostylus) brevicaudatus (Kozlowski)
Schizostylus (Curuyella) granulata Eldredge & Branisa
Schopfaspis granulosus Palmer & Gatehouse
Scopelochasmops cambrensis (Whittington)
Scotiella obsoleta Ulrich & Delo in Delo
Scotoharpes spasskii
Scutellum pompilius Billings
Scutellum rochesterense Howell & Sanford
Scutellum tullium (Hall)
Scutellum tullium depressum Cooper & Cloud
Scutellum tullium Hall
Scutellum wardi Howell & Sanford
Selenocoryphe platyura
Selenocoryphe sp.
Selenoharpes sp Ross
Semisphaerocephalus latus Palmer
Semnocephalus minor Resser
Serrodiscus ctenoa Rushton
Serrodiscus griswoldi Rasetti
Serrodiscus latus Rasetti
Serrodiscus sp Palmer
Serrodiscus sp Rasetti
Serrodiscus speciosus (Ford)
Serrodiscus spinulosus Rasetti
Serrodiscus subclavatus Rasetti
Sevillia porcupinensis Hahn & Hahn
Shantungaspis aclis (Walcott)
Shantungaspis orientalis (Resser & Endo in Endo & Resser)
Shantungia spinifera Bergeron
Shantungia spinifera Walcott
Shergoldia manchurica (Kobayashi)
Shergoldia taianfuensis (Endo)
Shergoldia trigonalis (Kobayashi)
Shickshokia cristata Rasetti
Shickshokia occidentalis Lochman
Shirakiella carme (Walcott)
Shumardia alata Robison & Pantoja-Alor
Shumardia ctenata Robison & Pantoja-Alor
Shumardia exopthalmus Ross
Shumardia minuta Harrington
Shumardia sp Ross
Shumardia sp Walcott
Sigmocheilus compressus Palmer
Sigmocheilus grata (Resser)
Sigmocheilus notha (Resser)
Sigmocheilus pogonipensis (Resser)
Sigmocheilus serratus Palmer
Sigmocheilus utahensis (Resser)
Simulolenus quadrisulcatus Palmer
Simulolenus wilsoni (Henningsmoen)
Sinosaukia pustulosa Sun
Skreiaspis sp Samson et al.
Skrejaspis spinosus
Sneedvillia saylesi Resser
Sneedvillia typicalis Resser
Sokhretia solitaria
Solenoparia agno (Walcott)
Solenoparia hemicycla Endo & Resser
Solenoparia hsipiensis Endo & Resser
Solenoparia inaii Endo & Resser
Solenoparia lilia (Walcott)
Solenoparia newfoundlandensis Howell
Solenoparia planifrons Endo & Resser
Solenoparia puteata Endo & Resser
Solenoparia salebrosa Endo & Resser
Solenoparia sp Zhang & Jell
Solenoparia taitzuensis Endo & Resser
Solenoparia talingensis (Dames)
Solenoparia toxeus (Walcott)
Solenoparia triangularis Endo & Resser
Solenoparia trogus (Walcott)
Solenoparops salebrosa (Resser & Endo in Endo & Resser)
Solenoparops taitzuensis (Resser & Endo in Endo & Resser)
Solenopleura agno Walcott
Solenopleura belus Walcott
Solenopleura beroe Walcott
Solenopleura bombifrons Matthew
Solenopleura chalcon Walcott
Solenopleura harveyi Walcott
Solenopleura holometopa Angelin
Solenopleura howleyi Walcott
Solenopleura nana Ford
Solenopleura pauperata Resser in McKee & Resser
Solenopleura proavita Howell
Solenopleura pruina Palmer & Gatehouse
Solenopleura sp Walcott
Solenopleura tumida Walcott
Solenopleura weedi Walcott
Solenopleurella buttsi Resser
Solenopleurella diligens Resser in McKee & Resser
"Solenopleurella elatifrons Rasetti, 1965"
Solenopleurella erosa Resser in McKee & Resser
Solenopleurella minor Resser
Solenopleurella pagodensis Deiss
Solenopleurella porcata Resser in McKee & Resser
Solenopleurella quadrata Rasetti
Solenopleurella sp Resser
Solenopleurella sp 1 Rasetti
Solenopleurella sp 2 Rasetti
Solenopleurella transversa Rasetti
Solenopleurella virginica Resser
Sombrerella mexicana Lochman in Cooper Et Al
Sonoraspis gomezi Stoyanow in Cooper Et Al
Sonoraspis torresi Stoyanow in Cooper Et Al
Spathacalymene nasuta (Ulrich)
Spencella acanthina Palmer
Spencella convexa Rasetti
Spencella marginata Rasetti
Spencella montanensis Rasetti
Spencella sp Palmer
Spencella spinosa Rasetti
Spencella virginica (Resser)
Spencia plena Resser
Spencia quadrata Fritz
Spencia tontoensis Resser in McKee & Resser
Spencia typicalis Resser in McKee & Resser
Sphaeragnostus gaspensis Cooper & Kindle
Sphaerexochus bridgei Cooper & Kindle
Sphaerexochus glaber Holloway
Sphaerexochus hapsidotus Whittington & Evitt
Sphaerexochus mirus Beyrich
Sphaerexochus pisum Foerste
Sphaerexochus pulcher Whittington & Evitt
Sphaerexochus romingeri Hall
Sphaerexochus sp Butts
Sphaerocoryphe sp Ross
Sphaerocoryphe sp.
Spinagnostus franklinensis Howell
Staurocephalus lagena Holloway
Staurocephalus oarion Holloway
Stauroholcus typicalis Resser
Stenambon megagranulus Palmer
Stenambon paucigranulus Palmer
Stenarocalymene celebra (Raymond)
Stenochilina anceps Resser
Stenochilina appalachia Resser
Stenochilina pulchra Howell
Stenochilina sp a Taylor & Halley
Stenochilina spinifera Ulrich
Stenopilus aduncus Resser
Stenopilus bacca Resser
Stenopilus curtus Howell
Stenopilus dubius Rasetti
